,Dim1,Dim2,name,party
130,-0.14245732,-12.241336,부승찬,더불어민주당
131,6.941471,-13.292971,서명옥,국민의힘
132,-5.503833,6.4003844,서미화,더불어민주당
133,5.5949955,-12.133912,서범수,국민의힘
134,6.2465596,7.997931,서삼석,더불어민주당
135,-4.1537514,5.648156,서영교,더불어민주당
136,-10.9098625,5.115973,서영석,더불어민주당
137,5.286225,11.563677,서왕진,조국혁신당
138,19.095345,2.5161026,서일준,국민의힘
139,10.559687,-14.903696,서지영,국민의힘
140,10.249747,-12.561033,서천호,국민의힘
141,18.504515,4.258154,성일종,국민의힘
142,-0.7222718,10.738061,소병훈,더불어민주당
143,-11.650504,2.3417392,손명수,더불어민주당
144,-2.6726887,-6.770433,송기헌,더불어민주당
145,15.637406,-5.09904,송석준,국민의힘
146,10.58254,-13.592568,송언석,국민의힘
147,-3.2463045,1.9982548,송옥주,더불어민주당
148,-10.718076,4.863949,송재봉,더불어민주당
149,9.182039,-11.561361,신동욱,국민의힘
150,15.407091,1.5127155,신성범,국민의힘
151,6.4636173,10.469867,신영대,더불어민주당
152,5.2906184,9.298457,신장식,조국혁신당
153,-16.678242,-1.69489,신정훈,더불어민주당
154,0.15741959,11.71975,안규백,더불어민주당
155,-9.458592,7.74543,안도걸,더불어민주당
156,3.5032363,-10.939155,안상훈,국민의힘
157,17.603035,0.45188448,안철수,국민의힘
158,-11.376749,3.3926675,안태준,더불어민주당
159,-3.3985484,1.8317993,안호영,더불어민주당
160,-16.034113,2.3531032,양문석,더불어민주당
161,-8.564176,-1.4171363,양부남,더불어민주당
162,-15.878433,8.576469,어기구,더불어민주당
163,4.5269713,-13.597759,엄태영,국민의힘
164,-15.406946,1.7665939,염태영,더불어민주당
165,-4.0391345,6.568504,오기형,더불어민주당
166,-7.9700794,8.631759,오세희,더불어민주당
167,7.7908072,9.406429,용혜인,기본소득당
168,-3.9115224,-2.3819323,우원식,무소속
169,15.58735,1.4173273,우재준,국민의힘
170,-11.445798,-0.35710058,위성곤,더불어민주당
171,-8.870401,5.627688,위성락,더불어민주당
172,-5.8273416,6.8936143,유동수,더불어민주당
173,15.901217,-3.2275045,유상범,국민의힘
174,6.7089424,-11.741394,유영하,국민의힘
175,7.8706493,-11.116209,유용원,국민의힘
176,-7.0746,9.644493,윤건영,더불어민주당
177,17.876104,2.6160698,윤상현,국민의힘
178,18.401873,4.8817425,윤영석,국민의힘
179,16.440845,0.41261217,윤재옥,국민의힘
180,-5.517071,11.236356,윤종군,더불어민주당
181,-16.305252,1.8819745,윤종오,진보당
182,-14.604703,4.6410537,윤준병,더불어민주당
183,19.838047,1.7465184,윤한홍,국민의힘
184,6.1436663,9.040596,윤호중,더불어민주당
185,-13.259041,5.105139,윤후덕,더불어민주당
186,-10.509662,6.5705276,이강일,더불어민주당
187,-7.472126,4.2461166,이개호,더불어민주당
188,-10.17962,5.50596,이건태,더불어민주당
189,-16.82094,-2.860471,이광희,더불어민주당
190,-20.042492,6.53313,이기헌,더불어민주당
191,8.011889,-12.648309,이달희,국민의힘
