,agenda_name,agenda_id,agenda_url
33,의료기기법 일부개정법률안(대안),2207090,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Z2E4M1L2M0X4L1X5K2X9U0U2W9X4I8
34,노숙인 등의 복지 및 자립지원에 관한 법률 일부개정법률안,2204691,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_S2D4M1R0S1G5D0G9D3U9F0J7S5N2U1
35,산림재난방지법안(대안),2207087,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_H2B4E1J2C1Y9D1O5B3H8P0F1K6Q0O5
36,콘텐츠산업 진흥법 일부개정법률안(대안),2206956,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Z2W4O1U1O2M0D1H7M4N0R4P1P1N7W2
37,박물관 및 미술관 진흥법 일부개정법률안(대안),2206957,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_M2T4F1T1D2B0L1F7F3K6Y5G4D5Z3Y2
38,국민체육진흥법 일부개정법률안(대안),2206955,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_C2A4E1W1J2B5Z1A1Y1T8O5Q3D8S5D8
39,관광진흥법 일부개정법률안(대안),2206954,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_C2O4A1M1Q2D5F1D2Q2P4P2A9F5S5F9
40,게임산업진흥에 관한 법률 일부개정법률안(대안),2206953,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_K2I4S1R1H2E0R1Q7D4K1W3N1D6N6C0
41,지역신문발전지원 특별법 일부개정법률안,2202558,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_E2C4D0B8J0K2I1I3G0H8F3G9O9O3N9
42,작은도서관 진흥법 일부개정법률안,2203074,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_X2V4W0L8L0K9K1J0J5I3I1Q2O6P0N1
43,영화 및 비디오물의 진흥에 관한 법률 일부개정법률안,2203203,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D2F4D0D8Z1Z4Y1W6X2V2W4D6E0D4D4
44,문화기본법 일부개정법률안,2200447,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_H2I4G0H6P1O1O0M9N4M3T0U6S9T8R5
45,문학진흥법 일부개정법률안,2204676,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2J4R1Q0P1P1O0W9V3T3A3Z1H1I2H1
46,매장유산 보호 및 조사에 관한 법률 일부개정법률안,2203098,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_J2H4Q0Q8O1P9N1O4M2N0I2H6I0G6G2
47,대중문화예술산업발전법 일부개정법률안,2203906,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D2E4C0C8B3B0Z1H6I1G7H2F8F1E5F7
48,학교폭력예방 및 대책에 관한 법률 일부개정법률안,2203449,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_H2F4G0E8E2C9L2L2J3K8I5J3H4I9D7
49,교원의 지위 향상 및 교육활동 보호를 위한 특별법 일부개정법률안,2205027,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_V2T4U0S8A0B7Z1Z7Y1Z6X4X5F8G5E5
50,공교육 정상화 촉진 및 선행교육 규제에 관한 특별법 일부개정법률안,2203142,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_K2J4J0H8Q1Q9O1P1O4O7M3U5V0T5U3
51,지방교육재정교부금법 일부개정법률안(대안),2205966,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_M2W4A1Z2E3F0H1X8F0Z2X2Q4B9H7Z1
52,군사법원법 일부개정법률안,2200819,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2C4J0I6H1F8N1M4L4K4S1R2Q4Q3P5
53,고위공직자범죄수사처 설치 및 운영에 관한 법률 일부개정법률안,2203837,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_V2U4C0B7C3B0Z1H4G1E1D0E2B7Z6Y0
54,반인권적 국가범죄의 시효 등에 관한 특례법안(대안),2207082,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_T2E4V1L2D2C3J1F4T3T2R3J3L4Q6A5
55,한국산업은행법 일부개정법률안(대안),2206917,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2Z4M1D2P0H3W1U3D3Z7Q1S6Y2F6K1
56,자본시장과 금융투자업에 관한 법률 일부개정법률안(대안),2204308,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_S2M4C0P8Q2N8T1I3P2J8G4Z0Z7L8B1
57,예금자보호법 일부개정법률안(대안),2203268,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_M2I4K0R8B2G6B1B7C4B0Y3V4H9Y6D0
58,대부업 등의 등록 및 금융이용자 보호에 관한 법률 일부개정법률안(대안),2206910,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2E4S1X2G0S3K1I3I4O1Y3V4R4V9M6
