,name,party
248,정점식,국민의힘
249,정준호,더불어민주당
250,정진욱,더불어민주당
251,정청래,더불어민주당
252,정춘생,조국혁신당
253,정태호,더불어민주당
254,정혜경,진보당
255,정희용,국민의힘
256,조경태,국민의힘
257,조계원,더불어민주당
258,조국,조국혁신당
259,조배숙,국민의힘
260,조승래,더불어민주당
261,조승환,국민의힘
262,조은희,국민의힘
263,조인철,더불어민주당
264,조정식,더불어민주당
265,조정훈,국민의힘
266,조지연,국민의힘
267,주진우,국민의힘
268,주철현,더불어민주당
269,주호영,국민의힘
270,진선미,더불어민주당
271,진성준,더불어민주당
272,진종오,국민의힘
273,차규근,조국혁신당
274,차지호,더불어민주당
275,채현일,더불어민주당
276,천준호,더불어민주당
277,천하람,개혁신당
278,최기상,더불어민주당
279,최민희,더불어민주당
280,최보윤,국민의힘
281,최수진,국민의힘
282,최은석,국민의힘
283,최형두,국민의힘
284,추경호,국민의힘
285,추미애,더불어민주당
286,한기호,국민의힘
287,한민수,더불어민주당
288,한병도,더불어민주당
289,한정애,더불어민주당
290,한준호,더불어민주당
291,한지아,국민의힘
292,한창민,사회민주당
293,허성무,더불어민주당
294,허영,더불어민주당
295,허종식,더불어민주당
296,홍기원,더불어민주당
297,황명선,더불어민주당
298,황운하,조국혁신당
299,황정아,더불어민주당
300,황희,더불어민주당
